id,puzzle,solution,clues,difficulty
70881,....8.....36..97.2...7.15....98..4...4.6....12...........3....5...5..84.4.79...3.,571286394836459712924731568169875423745623981283194657698342175312567849457918236,25,3.3
36174,2.1...43....1.5..........68......2......149..8..3.6...53..7....1.9..83....6....7.,281769435643185729957432168315897246762514983894326517538271694179648352426953871,24,2.9
39495,.....46.9..8.......9..1.73.1..49.2....3.......24.8..7....5....157.1.6.......4....,235874619718369452496215738157493286683752194924681375842537961579126843361948527,24,6.4
67975,......7....4....8.59....1.28.........1..89..5...4.6....6.1..84....6.237....9.....,683291754124567983597834162849325617216789435375416298762153849958642371431978526,23,4.2
3235,...6...7..8....96.....3.....6......74..2..3..35..4.8......1..2.9....5.81..4..6...,549682173783154962621937458168593247497268315352741896875319624936425781214876539,23,2.8
20252,.2.61...45...34....6..7....8.5.....6.7.9...2.....65..9..1.........1..4.5.8....2.7,728619354519834672364572198895321746673948521142765839451287963237196485986453217,25,3.0
89494,...8..39..4.32.1.7.....5.6...75.....45..8...38.9.6..7....7...1.1...3...8.9....2..,672814395945326187381975462217593846456187923839462571523748619164239758798651234,27,2.9
60738,5...476.....98.5......6..1......94....18...3..8...1....3.....5...4.5.1....24....3,593147628216983547748265319325679481961824735487531962639718254874352196152496873,24,3.6
62484,..4.1.2......4.976..2.......1...6.....32...58.....3..4.61....4..2.......5..3....9,974618235138542976652739481815476392743291658296853714361925847429187563587364129,23,3.1
37091,46.59......5..2.9..79.6........2.8.1.....7.5.3..1..4..7.4.....2.96.3.....1..7.9..,463591728185742396279863514957426831641387259328159467734915682896234175512678943,27,4.6
25058,8.........5..18..3..2..39......91.42.....71.51..6...39..3.7....4.....5...2...9..7,839724651654918273712563984365891742298347165147652839983175426471236598526489317,26,3.7
8019,..43....8.6.5.4...9..1......268..7.58.........7..2...4...4.3.1.........7.3..5..9.,714392658368574129952168473126849735849735261573621984697483512285916347431257896,24,3.2
46948,5...2...3....364.......9.7...9.7.8....4.83.6.2..9....48.1...6....26...5.9......2.,596724183728136495413859276639475812174283569285961734851392647342617958967548321,26,3.9
27319,1..256.9.....9..7..5.1..........196.........26......1576.8...4...3....578..3.....,137256498286493571954178236372581964591764382648932715769825143423619857815347629,25,2.7
22288,.6.3...82..31.......8.....6......2.8.8..5.7.9.7...4...7.9561....3....5....6.....4,967345182523186497418927356695713248384652719271894635749561823832479561156238974,25,3.1
3392,.4...7....3....9.56....347....52..38..6..........38....29......1..29..8.....45...,541967823738412965692853471917524638386179542254638197429381756175296384863745219,24,2.9
58555,1....9.5.5..68......9.5...89..4...2...2..83...4....1...9..14....6..2..9.8.4....12,186349257537682941429157638978431526612598374345276189293714865761825493854963712,27,3.0
50807,.....9.7..6.4..8..3.4..8..1.73.5.9..........6.2.9.6......1.....5.8.93....197.....,182539674967412835354678291673851942491327586825946713736185429548293167219764358,25,4.1
12811,..9.4.6.5..5.3..71............28...9.....64.26.....5..4...2.1...1....72....75....,729148635845632971361975248154287369973516482682394517497823156518469723236751894,24,3.1
68039,3....7...9...5..371.62...4.....9......8...6.37....6.......2...5.9..7....245..1...,354917286982654137176283549463598721518742693729136854637829415891475362245361978,24,3.0
44569,5.3.94........685..........9....154....3..1...6...29...92......41...8....7.2..6..,523894761749126853681537294938761542254389176167452938392615487416978325875243619,24,3.3
42133,..4.7.95....1.......78....65.....2.....48....4..6..3..3...9.4.86.17...9..........,184376952263159847957824136516937284732485619498612375375291468621748593849563721,23,2.8
9105,...8.5.....2..48.1.4...3....5.7..4..47.3....2.8...2.9.7..5.........9.52..3.....7.,167825349392674851548913267251769438479358612683142795724531986816497523935286174,25,3.7
38687,5.8....6.3...4..5..72........9.3......1....8....59..23...7....6.2...48...1...83..,548319762396247158172685934459832671231476589867591423984753216723164895615928347,24,3.4
7941,..3...2....8..5..3...3...1771....3...2......1....56.......8..5.9.7.4...6.84......,563714289178925463492368517716892345825473691349156728231687954957241836684539172,23,2.8
19039,2...643.......398...6...7....3..72.57..2.....81.....7..4........8..9..3.6...31...,278964351154723986936518742493187265765249813812356479349675128581492637627831594,25,3.4
73596,..8...2...9......42..14..9..398......7.6....8.4..91.76.....34..1..5..........8...,418739265396285714257146893639857142571624938842391576785963421164572389923418657,24,2.6
48160,...2...788...53.....5....36.836.2....2.5...9.....8......6.4............79.4....1.,431269578862753149795418236183692754627534891549187623276341985318925467954876312,23,2.6
35117,.....47.65..2...4..4..6.....7...921...9..2....1..3..9.....93....5.1....81....8..3,921384756536271849748965132873649215469512387215837694687493521354126978192758463,25,4.7
56112,83..6..2....2....54.......6...97..6.6.8..4..........4872....5.9...5...7..1.8.....,839165724167243895452789316245978163698314257371652948726431589983526471514897632,24,2.9
8938,....2.........81..9.41..5......4...75...8.9.33....625..98.........2......3..6...9,183524796752698134964173582829345617516782943347916258698457321471239865235861479,23,3.4
4020,.3..4.1.25..8......2.61...9..8.......9......574.1.......6..9.2..7..6.9.....5..34.,639745182517892634824613579368954217291387465745126893156439728473268951982571346,25,5.7
35240,65.1.......9.5...31....8........3.6..7......5..2..437........5.4.13...9......27..,653129487289457613147638529514793268376281945892564371738946152421375896965812734,23,4.5
21876,.3...........85.....6..789..7..4..35..2......9..3.87.2.......7.4..7..5.1.2...19..,837194256294685317516237894178942635342576189965318742651829473489763521723451968,25,3.4
3729,..6..........6..3.9...182..6.42....7...8..15...5...3.4.2.6......5.47........29.4.,236954718581762439947318265614235987392847156875196324429681573158473692763529841,25,3.1
77314,9......1......7...5.1.3..8.63.2....8...9..64...4....7..2......9...4..3...6..9..5.,943825716286147935571639284635274198712958643894361572427513869159486327368792451,23,2.8
67385,..634......2...1..43.29.6......6.3..3.....9.1......56..9.8...7...39.....62.1..8..,816345792952678134437291685148569327365782941279413568591826473783954216624137859,26,3.4
8392,1........5..6...72.23.14.5.4......9..9..538.6..5.....4....96..........1.........8,176529483549638172823714659438267591791453826265981734317896245682345917954172368,23,2.7
34631,...1.3.46.9.......6......5..7..8.....2...43.73..7.1....6.8.5.2..14...93...2......,257193846491568273638247159175386492826954317349721685963815724514672938782439561,25,3.6
91934,5.4....2....9..4.3.......6...3......94..3.8.1.1...5.4....37...263..9.....7....6..,594613728768952413321784965853149276946237851217865349485376192632491587179528634,24,3.2
94,..24..83.....7....5.83..7.98.........23...15.49..2......7.1.......2.5..6..4...2..,672459831139872645548361729816537492723694158495128367267913584381245976954786213,25,4.7
34086,.7.5.9.....3.7..6..21..8..99....45....87..1..2...3.8..3..4........8......8..9...3,874569321593172468621348759917284536438756192256931874362415987749823615185697243,25,3.9
80202,2.6.7..1.4.........7.3...46..84.652.........3..5.9.......7..3......31.......8...4,236974815489165732571328946398416527124857693765293481612749358847531269953682174,23,2.6
19189,..195.....26.....35..4.3....4.3.72....2....48......7...6....1....72..3.....57....,381956472426718593579423861645387219732195648198642735264839157957261384813574926,24,3.0
72312,......8...1.49...73....2.1...2.....995..1........3..2...7.85....6.12.5....3...6..,796351842215498367384762915432876159958214736671539428147685293869123574523947681,24,2.8
25962,..4......81..3....5...7......3....9......67.31....2.8.3.9.8.5.6....2...8.2....93.,294518367817639245536274819463857192982146753175392684349781526651923478728465931,24,2.6
16470,......126.3..5....4.......5..39.6.1..........76.8..........5.6...5.2..391...4.5..,957483126631259748428167395583976214219534687764812953342795861875621439196348572,23,3.1
12560,87......2..2....6..3.....9...542..7......14.97...6......43.91..2..7....4.........,871695342952834761436217598195428673623571489748963215564389127219756834387142956,23,3.2
3,..5...74.3..6...19.....1..5...7...2.9....58..7..84......3.9...2.9.4.....8.....1.3,215983746387654219469271385538716924941325867726849531653198472192437658874562193,25,2.6
29651,7......98.42.8.....3...7.....4..81..65....9.4...1....5..86..7.........1.....73..6,716325498542981637839467521274598163651732984983146275328614759467859312195273846,24,3.1
20423,.5.....6..34.7...19.....7....2.68......2..5..1.6...8.47....5.4..2....9.......1..8,257183469634579281981642735542968173378214596196357824713895642825436917469721358,24,2.9
5724,.4......1...7.5...9...3.........15.6.....2..8.79......4.2....3...53..8...9..4...7,543829761128765943967134285234981576651472398879653412482517639715396824396248157,22,6.0
28530,........2..915.7.....3...........63..2.7.3.5..8..4....1..5....923..9...6.4.8.....,314978562869152743752364891497215638621783954583649217178536429235497186946821375,23,2.8
21504,.....5.7.5.274......8.2....2..1...35.....9.8..9...3..7.......1....56..2336.......,649315872512748396738926541276184935153679284894253167425837619987561423361492758,24,2.6
8027,.....47.......9.2...981.3......86.......5...1463......17....26....7.2...6.....5.3,316524789748639125529817346951286437287453691463971852174395268835762914692148573,24,3.1
72985,.1...7..8..53......4.......3.....98..67.5......4...2.7..9.754.......6.2.....9..3.,213647598795381642648529173352714986967852314184963257839275461571436829426198735,23,2.7
48731,.8.1..7.......9..4..7.56.....5....9....2....3..6.1..2.......5...9..63...3.2..7...,489132756563789214127456389235674198814295673976318425648921537791563842352847961,22,2.6
49390,..6.94.7..8.2...6.2..8..............4.9..8..7..352...........16....62.98.61..95..,156394872984275163237816945528947631419638257673521489892453716745162398361789524,26,2.7
16956,.......5......6..21..4..7..2.4..8.....9...1.7.5.....3.9...3...6.3.....1.6...82..5,498723651573816942162459783214378569389645127756291438921534876835967214647182395,23,2.8
50098,..4.1......82....593......8.4....9..3...76......8.....71.....5.56.7....9....3.16.,254618793678293415931457628846325971395176284127849536713964852562781349489532167,24,4.2
33542,.3..5.......294..6..1..7...14....5....84.6..2..9..........6.4......2..18...7.92..,932651874587294136461387925146932587758416392329875641273168459694523718815749263,24,3.9
88463,6....581........57...98.26.4.........8..4....3.1.....51.6..3.....9.....3...17...2,624735819918264357537981264495312786782546931361897425176423598249658173853179642,24,3.1
86389,......68.3...6..97........4.5.4....183...9....4..7..62.248........9.......87..5..,471295683385164297296387154657428931832619475149573862724856319563941728918732546,24,2.7
4136,......9..95...8.233..2..768.8...9.1776.4.3....3.......8....7.9.2....68..........5,628374951957168423314295768482659317761423589539781246846537192275916834193842675,27,2.9
51239,4...3.6...5.8....1..825.37.......14....6....8.....9....15..7......59...4..7.....3,472931685359876421168254379596783142724615938831429567215347896683592714947168253,24,3.3
66200,..9.3.8.2.3.96.1..4........1....7.83.....3..7..62.....2.....3...9..7..56.1.......,659431872732968145481725639125647983948513267376289514267854391893172456514396728,24,2.7
69808,9.........4....1...52894......3..67...6....54.....8.....56........52..9.82...13..,987136542643257189152894736298345671376912854514768923435689217761523498829471365,24,3.0
55453,68.....75........13.....6..5....13...46..7.......2.9............2.73854....5.4...,681943275297685431354172698572891364946357812813426957465219783129738546738564129,23,5.3
40638,9.45.......7.4...5.....32.......8..9.1.7.6....5...287...536.4...83.............2.,934521687827649135561873294472158369318796542659432871295367418783214956146985723,24,3.0
18043,..45...67..6.7....9.....1.....6.78.95.1..37..........2.3....6..85..9......2..1...,214538967386179254975462183423657819591823746768914532139245678857396421642781395,24,2.7
5175,.1.3..........9..3..5.....793...86..26......5...2...3174.1.6....8.....4.....7....,816327594427859163395641827934518672261793485578264931743186259182935746659472318,23,4.3
88678,...4...3.....93....25.7....8....1..2.3..2..165..7..9..1.....3......5..29.4.....7.,967412538481593267325678491896341752734925816512786943159267384673854129248139675,24,3.6
92167,13.47.....4....2.....5.1....5..6......8..7.9......2586.17.4.......2..8.......6..3,132479658549683271786521439953864712268157394471932586617348925394215867825796143,24,3.0
39108,...8.5.2.53.......4.169......9.27..6.........7.....29..58...7.....3....11.4....8.,976835124532471968481692573819527436625943817743168295358216749297384651164759382,24,2.6
56708,3....87......1..931...92.6..1......6.7.96.5....5..1.8.....2.......1.....8.2.54...,369548712524716893187392465913485276278963541645271389731829654456137928892654137,25,3.2
1310,...52..3.........9.....7.1...9.8.....1......74.2.56.8.2.....3....8..1576..7.64...,761529438523418769984637215639782154815943627472156983296875341348291576157364892,25,3.9
38973,...7....2....2..1.82....5..47.......1.6..4...5......6...18..4..2....1956.....6..7,914758632635429718827613549473562891186934275592187364761895423248371956359246187,24,2.8
73134,....7.5.92.6..........34...5.2.9...7...4....34..5..8..3......45.17.....2.....6...,843172569276958134195634728562893417789461253431527896328719645617345982954286371,23,3.9
8486,6....2....8....4..794....2.....162......7.8.1.....43.75...67........81...2.53..74,651342798382795416794681523437816259265973841819254367543167982976428135128539674,27,2.6
98585,4...3...8.6......9.13.....765.7.2....7.6..1.......9....2..4...........45..7..1.9.,495137628768524319213896457651782934974653182382419576829345761136978245547261893,23,4.4
74209,..28.....3.7.....59...4.1.....5....9....8426..8...3..48.31...9..6.......1....6...,612835947347219685958647132234561879591784263786923514873152496465398721129476358,24,3.2
3693,....4.1..........4..5...89..6...7.....39...65....267...2...8..74...3.2...9..6...1,938645172712893654645172893169457328273981465584326719326518947451739286897264531,24,2.6
85645,3...1.7..795.4......1...6.9...9.7.81....5.9....3.6..7..5.4....868.5..............,326819754795642813841375629564937281278154936913268475157426398682593147439781562,25,3.3
45552,.4...8.....6...7...3.7.9..6..9.8.6.7..26.1..5.8.9...1.......5.3...8.4.2....52....,947268351216345798538719246159482637472631985683957412824196573365874129791523864,26,5.6
85904,.3......88.23......41...2......7.69.......4..29...4..3..7..93....85.....5....7.4.,935426178872391564641785239184273695753968421296154783427819356368542917519637842,24,4.2
98111,9..5..........2.......9854...7.641..4.57..9........8..6.34...5..8.6....12.1.5....,914576382758342619362198547837964125425781963196235874673419258589627431241853796,26,2.6
41031,..7..924..2.7....85....2.....4.7..563..5.8.........1...6..2..37.8.96......2..7...,137689245629754318548312769294173856316598472875246193461825937783961524952437681,26,4.2
76125,...76....85.......7...894......5...1..5....796..3.........248........6..41..9....,943762185856431927721589436374958261185246379692317548567124893239875614418693752,22,5.5
69768,.3..72...6.1.4.7..7..6....5.5.........839..4...9..78.......6..1..4..32...1......9,935172684681549732742638195153864927278391546469257813327986451594713268816425379,25,3.5
8522,.5..6.179...1..6.......7..3.......9..94.2...1.1.69.5.2....1....82........792.3.1.,358462179947135628162987453286571394594328761713694582635819247821746935479253816,27,3.0
37754,.2..6....36.2.57...5...48.....51.9.2..9............5...9...1..7....2.6.1.149.....,428769315361285749957134826846517932579342168132896574293651487785423691614978253,25,3.0
95831,.........8..254.1...681.3.........8.41......2.5.1.34...8.....95.....7...5..4....6,145736928839254617276819354927645183413978562658123479784361295362597841591482736,24,3.2
59728,95....3..83...9.46..1.....567..8.9......6......49......8.4.2.6....83.41.7.....2..,957648321832519746461327895675281934398764152214953678183472569529836417746195283,27,2.8
4466,2.....8....91.7....71.52..9...275....1........68.4.....4.5...3.....9...1...4..5..,253964817689137254471852369394275186512689473768341925946518732825793641137426598,24,3.2
4085,......6..1.......725.7...1868....3......83.....7.4.5..82....9......78....4.23....,974812635168354297253796418685127349492583761317649582821465973536978124749231856,24,3.0
74155,..36.....2....9..1.4.........41......3...6.7........52.9..1...8...4.7....75...62.,913658247257349861648271593724195386531826479869734152496512738382467915175983624,22,3.2
45028,6...1....24...3.....7....4.7....1.6.....92..4..3..45.1.......85.5.82.67..........,639418257245973816187256349724531968518692734963784521392167485451829673876345192,24,2.9
14072,6.....3....3....7..9.85........4.2....2..8..9...6.9.4.3..96.8.417...5..3.........,648712395253496178791853426569341287412578639837629541325967814174285963986134752,24,3.3
44850,3..1....8.71....6...4..9..1....482.....51.8.....2...3..5......9.1..63...8.....7..,365172948971485362284639571197348256632517894548296137453721689719863425826954713,24,2.6
11996,..6...9......59..74...6.82..3...16..7........86..9..........4..2..3..58...7.1...3,576238914128459367493167825932741658754682139861593742385926471219374586647815293,24,2.9
19773,.637...5.....3.2.88.......4.346....9...2......5...7.4.9...1.....1.4..........35..,463728951597134268821965374234651789786249135159387642978516423315472896642893517,23,3.9
35436,....4....3..67...1......4.....7..8..5...3....1.6.9..2.21.3....6..4...7..6..8...3.,961543278348672591752189463423765819589231647176498325217354986834916752695827134,23,2.9
47522,...2...39..1.7...43.......7...7.8...64...1........2.8.76.5......35.876..8.....9..,476215839581379264329846157253768491648951723197432586762594318935187642814623975,25,2.7
21924,.5.....89........1....3.....3.7...9.4....86......1.75...89..5..6..8.....1.4..2...,253167489749285361861439275536724198417598623982316754328971546675843912194652837,22,3.2
44293,.193........8.29.3.6...........4.6....4.3.85..8....7......25..7..5....1..731.....,219376548457812963368459172731548629694237851582691734146925387925783416873164295,24,4.0
26275,..267..4.1...52.9.5........9.53...1..67.9...2....65....1....7.4..4.....96.......8,892671345173452896546983271985324617367198452421765983218539764734816529659247138,26,2.6
6215,7..6.....5....3...384.57....47..65......4..63........2......819..54......1.2.9..4,729614385561823947384957621247136598958742163136598472472365819895471236613289754,26,3.9
35191,..2.87.......13....6.....9..7.8....9..3..57....9..62.....3.485...5.......1......4,432987165597613482861542397674821539283495716159736248926374851745168923318259674,23,4.5
32725,8.7.............499....561..6.9......3....1.6.1.72.....7.4..........7.23...3..5..,847619235156273849923845617468931752732584196519726384371452968685197423294368571,23,2.8
39139,827..9.....32.7..........4.4.1......5...8..9......6354.8...5..6...8........63.7..,827469531143257869659318247491523678536784192278196354382975416765841923914632785,24,3.3
56489,3..62......7....8...2..9..6....75...4...9..1.5.1......7..3....2..5..28...4...6.7.,384627951967514283152839746839175624476293518521468397798351462615742839243986175,24,3.0
58523,9.7...1.......1.9.2....3..66..5....1.3..2..6..2.1..45..9.68..244.6....18.........,947856132563241897218793546674539281135428769829167453791685324456372918382914675,27,2.8
51467,5....3..1......2....1.9..6.1....7.9...8...1.....6...4..4.5.1.....9..43.7.5.9..6..,526843971497156283381792465164387592978425136235619748643571829819264357752938614,24,4.1
38906,9.3.8...7.6.3.9...........1.....3....2...6..43..59..2.73...4...6...5......2...48.,953182647461379852287465391576243918829716534314598726735824169648951273192637485,24,5.0
13570,....23..8.1......5...8...6.65...2.9.1.....7...72..1...9..5.8.2............394....,465123978218679435397854261654782193139465782872391654946518327781236549523947816,23,4.3
87564,...2.9.4...3.8...1.6......7......43.8.54...9..4...2.....6....5......517..29.3....,758219346493786521261543987612978435835461792947352618176894253384625179529137864,24,2.9
49265,6.1...7....9...5.....3...26.52......1...3.6...9.5....8......2..7..6...49...42..3.,641285793239746581875319426352168974187934652496572318514893267723651849968427135,24,3.8
51916,....48..9...7.3...7.495....2.....6..15.6......7......843..19..6...8...4.9.7....2.,563148279891723564724956831249381657158674392376592418435219786612837945987465123,26,5.5
87966,..2........64..9...7.3.....3.....59.8....3.71.5.61.2.3....4.1.26...8.....95......,942761835136458927578392614321874596869523471457619283783945162614287359295136748,25,3.3
62493,.1.7.4.3.6..35....42......51...69..2..........3..........5..7.88....1.4...6.9....,518724639679358214423916875187469352964235187235187496391542768852671943746893521,23,2.7
93666,.....57.....2....12..19...6.5..8..6..43.5....6..4......39.1...57....4..2...5...7.,318645729596278431274193856952387164143956287687421593839712645765834912421569378,25,2.6
33734,...5.2.7.59.8.631.3.................9...2...5.6.3...4........51.74....8...6.1.9..,641532879592876314387149526428765193913428765765391248239687451174953682856214937,24,3.4
48411,.....3..4..2.........8..3.9..9.58..6.53.6.....2.....1.48.9..6....7....9.3..2..17.,918723564532694781746815329179458236853162947624379815481937652267581493395246178,25,3.0
94174,..145.....2...69..7....9.........257..9.2..168..........76...2..4.5.......8..35.9,391457682425836971786219435634981257579324816812765394957648123143592768268173549,25,3.7
68997,....96......72..1......82.953....9...8...435........6.6...8....4.85...7.75.3.....,342196785895723416167458239536812947981674352274935861613287594428569173759341628,25,3.0
30335,3.6.5..8.5.....4...8.....6.1....9638.5...3.91.......7.6..........461...7.35..4...,346951782579286413281437965127549638458763291963128574612375849894612357735894126,26,2.8
58133,.2...4.6..39....7.5.....1...9...2.....85.1...2...4.68.36.4..92...2..7......9....5,827194563139685472546273198691832754478561239253749681365418927912357846784926315,26,5.1
68130,4.....7...9547..82.271........6.5...2.1.........721...1...5.63..538...9..........,418592763695473182327168459879645321241389576536721948182954637753816294964237815,26,3.3
19761,......73.2...47...........1..4..9.5.....1.2..8.56......5....89.....3....63.2.1..5,581926734293147568476853921724389156369415287815672349152764893947538612638291475,23,3.2
69407,...3.....4.15..9.3..9..687.17....4...2.9...8.....3...7..8.1.6..7..42..9......9...,587392146461587923239146875173258469625974381894631257948715632716423598352869714,26,3.1
62837,..5...6416..2...3.....8.......7...95.......1.3...54.....7.....41.83...7..5...2...,285937641649215837713486259864721395572693418391854762937568124128349576456172983,23,3.9
80419,76.5.9...9....6............2..9...1...521..8.49...7..2..3...8.....73..5.54..8....,768549231912376548354128697287963415635214789491857362173495826826731954549682173,25,2.6
12375,..3...1...2.6.........83.46..4.9..63.39.4.7.......58..........89....1.3.57.......,693754182428619375715283946854197263239846751167325894346972518982561437571438629,24,3.0
99487,......39....3.2...6.8.....7.7.46...5.1....4....21...8..5..1....1.6.54....4.7..5..,524678391791342658638591247873469125915827436462135789257913864186254973349786512,25,4.0
60148,9...6.3..4..3...8132.7..........9......68..94.....7..6..5........1.562...6....8..,918465372457392681326718459674539128532681794189247536845123967791856243263974815,24,3.3
98327,...2...1..8.....7.3.79..58.2.5.....88....1.....9.5.72...638..5..........9....6...,594278316682135479317964582275649138843721695169853724426387951751492863938516247,24,2.6
61428,.38.6..9..6.4....8.....15..8.32......9.......57..4..8.....9..7.......615..65....4,438765192165429738927381546813257469694138257572946381251694873349872615786513924,25,2.9
38604,.....7.4.2..56....1.79.......6.5.2.9.2...1..47.4.......7..1...3...2.8.61......8..,635187942249563178187942635316754289928631754754829316872416593593278461461395827,25,2.7
16784,..9...........645.2.61.4..3...9..6..7.2........845....423.1.7.9.......6....3.....,149538276837296451256174893514927638792863514368451927423615789981742365675389142,24,2.8
56228,57.63............16...97....6...5..9..32.86.........8...43..5....2...8......5...4,571632948329584761648197352867415239493278615215963487984321576152746893736859124,23,2.6
78651,...6........74....4....17.6.4832.5..1....8.7..2...4.9.8.......9.1..5.2...97....1.,271635948986742135453891726748329561139568472625174893862417359314956287597283614,26,2.7
38503,........3....6.4...2..49....7...4..5...5.824...4...79.3......1...7..53.8.813.....,498751623715263489623849157172694835936578241854132796369487512247915368581326974,25,3.7
75842,7.3...5.1.1.4..9.2.8......7.....1.......3.7..8.1.92...5..........6..4....9261....,743269581615478932289153467357841629924536718861792354538927146176384295492615873,24,2.8
2766,..432......594..61.7...5.....62....7.4.....8.....135..8.....6..9.2.......3...6..5,614328759285947361379165842596284137143759286728613594857492613962531478431876925,25,3.7
72888,8.......5.9...26.8....5..1..34.1.....1.7....6.....4.8..61..........6729.7.2......,846391725195472638327856419634918572218735946579624183961243857483567291752189364,24,3.4
99682,.......6786..7.2.......3...78.....1.3..28.......3...5...4...5.....5.91..1....4.3.,491852367863471295527693481782945613315286749649317852974138526238569174156724938,23,5.0
61803,2.8....7.4...2.16.5....7..9....3.....45.6.32....8........5.1...83..4.7..........2,218956473497328165563417289986234517745169328321875946672591834839642751154783692,24,2.9
76072,4....9....9..56.......187..1.2.4....5.......2.......69......6.72.4.....8.5...72.1,415729386798356124623418795162945873589673412347182569831294657274561938956837241,24,3.1
48713,8.....7......3.65....9.42.8...6...2..5.1.....29...8..6..7.....5..4......93.4.6..1,869215734421837659375964218148693527756142983293578146687321495514789362932456871,25,3.2
85178,.148..6.....2...8.....1.3......9.8.27..4.....5..6.3.7.........5.4.3.....826...79.,214839657379256481658714329463597812792481536581623974137968245945372168826145793,25,3.6
84654,...15.2...29.4...67......3...32..1.......6.7.....1........72.5...8.9....34....8..,634158297829743516715629438963287145581436972472915683196872354258394761347561829,23,2.7
27914,.4....56..1.5.3.74..6..........2..8.35...964.4.......2.951.7........6.5..6.9.....,743298561918563274526741893671324985352819647489675312895137426237486159164952738,26,3.0
15460,3.6..9....5.....46......1.8........1.839..45......2.8.1.9.46....7...32.....2.....,346819725851327946297654138462785391783961452915432687129546873578193264634278519,24,4.4
12316,.....27164............962..5..2.39.73..9....4.1..4....93.7....5....8.4....7......,895432716462178539173596248546213987328967154719845623934721865651389472287654391,25,3.8
75153,.....4..67..963..1...1...8.5.7...46..........4.....9.8.....6.528..7......568...1.,219584736785963241643127589597218463368479125421635978174396852832751694956842317,25,2.7
82013,.1..89.........5.3..3.4.9..28.7.......4...3........61..........74...1.5..659..1.4,516389247479216583823547961281763495654192378937854612198425736742631859365978124,24,2.7
14691,.......3.......6.11...4..7..1.9..2..4.9.3......3.6..1.........8.36.25....853.....,568271439374589621192643875617958243429137586853462917241796358736825194985314762,23,3.0
81684,......1869....4..7..7..2.4....63....6..1....9.2.4..5..........13.........8.259...,254973186936814257817562943579638412648125379123497568495386721362741895781259634,23,2.8
81310,.7...4.5.8..........5.7..3....16.38.5..4.2.9..1.......79...5..6...2..1..28.......,172934658839526417645871932427169385563482791918753264794315826356248179281697543,24,3.7
10123,......1....9...8...582.46.97...86.1.3......4.....1...256..2.......3.8....4...1...,234869157679135824158274639792486315316592748485713962563927481921348576847651293,24,3.4
